City,County
Bath,Somerset
Birmingham,West Midlands
Bradford,West Yorkshire
Brighton and Hove,East Sussex
Bristol,Bristol
Cambridge,Cambridgeshire
Canterbury,Kent
Carlisle,Cumbria
Chelmsford,Essex
Chester,Cheshire
Chichester,West Sussex
Colchester,Essex
Coventry,West Midlands
Derby,Derbyshire
Doncaster,South Yorkshire
Durham,Durham
Ely,Cambridgeshire
Exeter,Devon
Gloucester,Gloucestershire
Hereford,Herefordshire
Kingston upon Hull,East Riding of Yorkshire
Lancaster,Lancashire
Leeds,West Yorkshire
Leicester,Leicestershire
Lichfield,Staffordshire
Lincoln,Lincolnshire
Liverpool,Merseyside
London,Greater London
Manchester,Greater Manchester
Milton Keynes,Buckinghamshire
Newcastle upon Tyne,Tyne and Wear
Norwich,Norfolk
Nottingham,Nottinghamshire
Oxford,Oxfordshire
Peterborough,Cambridgeshire
Plymouth,Devon
Portsmouth,Hampshire
Preston,Lancashire
Ripon,North Yorkshire
Salford,Greater Manchester
Salisbury,Wiltshire
Sheffield,South Yorkshire
Southampton,Hampshire
Southend-on-Sea,Essex
St Albans,Hertfordshire
Stoke-on-Trent,Staffordshire
Sunderland,Tyne and Wear
Truro,Cornwall
Wakefield,West Yorkshire
Wells,Somerset
Westminster,Greater London
Winchester,Hampshire
Wolverhampton,West Midlands
Worcester,Worcestershire
York,North Yorkshire
